Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,BandT_Preblank1,lc_sys,lc_mp\ChannelA_wetfile,R:B1,1
Unknown,BandT_Preblank2,lc_sys,lc_mp\ChannelB_wetfile,R:B1,1
Unknown,BandT_hyea_SysQC_RB1_rep1_ch1_msmethod_wet,lc_sys,lc_mp\ChannelA_wetfile,R:B23,1
Unknown,BandT_hyea_SysQC_RB1_rep2_ch2_msmethod_wet,lc_sys,lc_mp\ChannelB_wetfile,R:B23,1
Unknown,BandT_hyeb_SysQC_RB23_rep1_ch1_msmethod_wet,lc_sys,lc_mp\ChannelA_lcmethodfile,G:A7,1
Unknown,BandT_hyeb_SysQC_RB23_rep2_ch2_msmethod_wet,lc_sys,lc_mp\ChannelB_lcmethodfile,G:N18,1
Unknown,BandT_H3B_blo1_GA7_rep1_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,R:J19,1
Unknown,BandT_D4T_blo1_GN18_rep1_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,R:G11,1
Unknown,BandT_D2T_blo1_RJ19_rep1_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,B:J3,1
Unknown,BandT_H1T_blo1_RG11_rep1_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,B:C21,1
Unknown,BandT_H5B_blo1_BJ3_rep1_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,G:B18,1
Unknown,BandT_D6T_blo1_BC21_rep1_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,R:O20,1
Unknown,BandT_D4T_blo1_GB18_rep2_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,G:F14,1
Unknown,BandT_D2T_blo1_RO20_rep2_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,G:G9,1
Unknown,BandT_D4B_blo1_GF14_rep1_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,G:A8,1
Unknown,BandT_H3T_blo1_GG9_rep1_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,G:I5,1
Unknown,BandT_H3T_blo1_GA8_rep2_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,B:E8,1
Unknown,BandT_H3B_blo1_GI5_rep2_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,B:D10,1
Unknown,BandT_H5T_blo1_BE8_rep1_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,R:A16,1
Unknown,BandT_H5T_blo1_BD10_rep2_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,B:B13,1
Unknown,BandT_D2B_blo1_RA16_rep1_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,R:D6,1
Unknown,BandT_D6B_blo1_BB13_rep1_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,G:A14,1
Unknown,BandT_H1B_blo1_RD6_rep1_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,R:B8,1
Unknown,BandT_D4B_blo1_GA14_rep2_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,R:O4,1
Unknown,BandT_H1T_blo1_RB8_rep2_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_wetfile,R:B1,1
Unknown,BandT_H1B_blo1_RO4_rep2_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_wetfile,R:B1,1
Unknown,BandT_hyea_SysQC_RB1_rep3_ch1_msmethod_wet,lc_sys,lc_mp\ChannelA_wetfile,R:B23,1
Unknown,BandT_hyea_SysQC_RB1_rep4_ch2_msmethod_wet,lc_sys,lc_mp\ChannelB_wetfile,R:B23,1
Unknown,BandT_hyeb_SysQC_RB23_rep3_ch1_msmethod_wet,lc_sys,lc_mp\ChannelA_lcmethodfile,B:B15,1
Unknown,BandT_hyeb_SysQC_RB23_rep4_ch2_msmethod_wet,lc_sys,lc_mp\ChannelB_lcmethodfile,R:P14,1
Unknown,BandT_D6B_blo1_BB15_rep2_ch1_msmethod_lcmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,B:K18,1
Unknown,BandT_D2B_blo1_RP14_rep2_ch2_msmethod_lcmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,B:G5,1
