Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,BandT_hyea_SysQC_BO2_rep1_msmethod,ms_sys,ms_mp\msmethodfile,BO2,1
Unknown,BandT_hyeb_SysQC_BO24_rep1_msmethod,ms_sys,ms_mp\msmethodfile,BO24,1
Unknown,BandT_qc_pre_BP1_rep1_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_qc_pre_BP1_rep2_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_qc_pre_BP1_rep3_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_qc_pre_BP2_rep4_msmethod,ms_lib,ms_mp\msmethodfile,BP2,1
Unknown,BandT_tb_pre_GA1_rep1_msmethod,ms_tb,ms_mp\msmethodfile,GA1,1
Unknown,BandT_tb_pre_GA1_rep2_msmethod,ms_tb,ms_mp\msmethodfile,GA1,1
Unknown,BandT_tb_pre_BA1_rep3_msmethod,ms_tb,ms_mp\msmethodfile,BA1,1
Unknown,BandT_tb_pre_BA23_rep4_msmethod,ms_tb,ms_mp\msmethodfile,BA23,1
Unknown,BandT_H3T_blo1_GO10_rep1_msmethod,ms_condition,ms_mp\msmethodfile,GO10,1
Unknown,BandT_D6B_blo1_BC16_rep1_msmethod,ms_condition,ms_mp\msmethodfile,BC16,1
Unknown,BandT_H5B_blo1_BB4_rep1_msmethod,ms_condition,ms_mp\msmethodfile,BB4,1
Unknown,BandT_D4T_blo1_GD18_rep1_msmethod,ms_condition,ms_mp\msmethodfile,GD18,1
Unknown,BandT_H3T_blo1_GD11_rep2_msmethod,ms_condition,ms_mp\msmethodfile,GD11,1
Unknown,BandT_H3B_blo1_GM4_rep1_msmethod,ms_condition,ms_mp\msmethodfile,GM4,1
Unknown,BandT_D6T_blo1_BG22_rep1_msmethod,ms_condition,ms_mp\msmethodfile,BG22,1
Unknown,BandT_H5B_blo1_BD4_rep2_msmethod,ms_condition,ms_mp\msmethodfile,BD4,1
Unknown,BandT_D6T_blo1_BG18_rep2_msmethod,ms_condition,ms_mp\msmethodfile,BG18,1
Unknown,BandT_H3B_blo1_GP3_rep2_msmethod,ms_condition,ms_mp\msmethodfile,GP3,1
Unknown,BandT_H5T_blo1_BL10_rep1_msmethod,ms_condition,ms_mp\msmethodfile,BL10,1
Unknown,BandT_D6T_blo1_BC21_rep3_msmethod,ms_condition,ms_mp\msmethodfile,BC21,1
Unknown,BandT_H3T_blo1_GD9_rep3_msmethod,ms_condition,ms_mp\msmethodfile,GD9,1
Unknown,BandT_D2B_blo1_RM17_rep1_msmethod,ms_condition,ms_mp\msmethodfile,RM17,1
Unknown,BandT_H5T_blo1_BI11_rep2_msmethod,ms_condition,ms_mp\msmethodfile,BI11,1
Unknown,BandT_D6B_blo1_BF17_rep2_msmethod,ms_condition,ms_mp\msmethodfile,BF17,1
Unknown,BandT_D6T_blo1_BL21_rep4_msmethod,ms_condition,ms_mp\msmethodfile,BL21,1
Unknown,BandT_D4B_blo1_GG14_rep1_msmethod,ms_condition,ms_mp\msmethodfile,GG14,1
Unknown,BandT_D4T_blo1_GL20_rep2_msmethod,ms_condition,ms_mp\msmethodfile,GL20,1
Unknown,BandT_D6B_blo1_BM17_rep3_msmethod,ms_condition,ms_mp\msmethodfile,BM17,1
Unknown,BandT_qc_other_BP2_rep5_msmethod,ms_lib,ms_mp\msmethodfile,BP2,1
Unknown,BandT_qc_other_BP1_rep6_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_hyea_SysQC_BO1_rep2_msmethod,ms_sys,ms_mp\msmethodfile,BO1,1
Unknown,BandT_hyeb_SysQC_BO23_rep2_msmethod,ms_sys,ms_mp\msmethodfile,BO23,1
Unknown,BandT_tb_other_RA23_rep5_msmethod,ms_tb,ms_mp\msmethodfile,RA23,1
Unknown,BandT_tb_other_GA24_rep6_msmethod,ms_tb,ms_mp\msmethodfile,GA24,1
Unknown,BandT_D6B_blo1_BN14_rep4_msmethod,ms_condition,ms_mp\msmethodfile,BN14,1
Unknown,BandT_D6T_blo1_BB18_rep5_msmethod,ms_condition,ms_mp\msmethodfile,BB18,1
Unknown,BandT_H3T_blo1_GN11_rep4_msmethod,ms_condition,ms_mp\msmethodfile,GN11,1
Unknown,BandT_H5B_blo1_BO6_rep3_msmethod,ms_condition,ms_mp\msmethodfile,BO6,1
Unknown,BandT_D4B_blo1_GE14_rep2_msmethod,ms_condition,ms_mp\msmethodfile,GE14,1
Unknown,BandT_D4B_blo1_GM13_rep3_msmethod,ms_condition,ms_mp\msmethodfile,GM13,1
Unknown,BandT_H5B_blo1_BN6_rep4_msmethod,ms_condition,ms_mp\msmethodfile,BN6,1
Unknown,BandT_D2B_blo1_RE16_rep2_msmethod,ms_condition,ms_mp\msmethodfile,RE16,1
Unknown,BandT_D4B_blo1_GB17_rep4_msmethod,ms_condition,ms_mp\msmethodfile,GB17,1
Unknown,BandT_D4T_blo1_GN18_rep3_msmethod,ms_condition,ms_mp\msmethodfile,GN18,1
Unknown,BandT_D2B_blo1_RP17_rep3_msmethod,ms_condition,ms_mp\msmethodfile,RP17,1
Unknown,BandT_D6T_blo1_BI20_rep6_msmethod,ms_condition,ms_mp\msmethodfile,BI20,1
Unknown,BandT_H3B_blo1_GN4_rep3_msmethod,ms_condition,ms_mp\msmethodfile,GN4,1
Unknown,BandT_D4T_blo1_GH20_rep4_msmethod,ms_condition,ms_mp\msmethodfile,GH20,1
Unknown,BandT_H3T_blo1_GK11_rep5_msmethod,ms_condition,ms_mp\msmethodfile,GK11,1
Unknown,BandT_D6T_blo1_BN21_rep7_msmethod,ms_condition,ms_mp\msmethodfile,BN21,1
Unknown,BandT_D2T_blo1_RD19_rep1_msmethod,ms_condition,ms_mp\msmethodfile,RD19,1
Unknown,BandT_D2T_blo1_RB22_rep2_msmethod,ms_condition,ms_mp\msmethodfile,RB22,1
Unknown,BandT_D2T_blo1_RP18_rep3_msmethod,ms_condition,ms_mp\msmethodfile,RP18,1
Unknown,BandT_D4B_blo1_GN17_rep5_msmethod,ms_condition,ms_mp\msmethodfile,GN17,1
Unknown,BandT_qc_other_BP1_rep7_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_qc_other_BP1_rep8_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_tb_other_GA1_rep7_msmethod,ms_tb,ms_mp\msmethodfile,GA1,1
Unknown,BandT_tb_other_RA23_rep8_msmethod,ms_tb,ms_mp\msmethodfile,RA23,1
Unknown,BandT_D2T_blo1_RB21_rep4_msmethod,ms_condition,ms_mp\msmethodfile,RB21,1
Unknown,BandT_D4B_blo1_GK14_rep6_msmethod,ms_condition,ms_mp\msmethodfile,GK14,1
Unknown,BandT_D4T_blo1_GA20_rep5_msmethod,ms_condition,ms_mp\msmethodfile,GA20,1
Unknown,BandT_D2T_blo1_RE22_rep5_msmethod,ms_condition,ms_mp\msmethodfile,RE22,1
Unknown,BandT_hyea_SysQC_BN2_rep3_msmethod,ms_sys,ms_mp\msmethodfile,BN2,1
Unknown,BandT_hyeb_SysQC_BN24_rep3_msmethod,ms_sys,ms_mp\msmethodfile,BN24,1
Unknown,BandT_H3T_blo1_GM10_rep6_msmethod,ms_condition,ms_mp\msmethodfile,GM10,1
Unknown,BandT_D4B_blo1_GK13_rep7_msmethod,ms_condition,ms_mp\msmethodfile,GK13,1
Unknown,BandT_D4T_blo1_GB22_rep6_msmethod,ms_condition,ms_mp\msmethodfile,GB22,1
Unknown,BandT_D4B_blo1_GE16_rep8_msmethod,ms_condition,ms_mp\msmethodfile,GE16,1
Unknown,BandT_H5T_blo1_BA11_rep3_msmethod,ms_condition,ms_mp\msmethodfile,BA11,1
Unknown,BandT_D6B_blo1_BL13_rep5_msmethod,ms_condition,ms_mp\msmethodfile,BL13,1
Unknown,BandT_D2T_blo1_RF21_rep6_msmethod,ms_condition,ms_mp\msmethodfile,RF21,1
Unknown,BandT_H3B_blo1_GG6_rep4_msmethod,ms_condition,ms_mp\msmethodfile,GG6,1
Unknown,BandT_D4T_blo1_GG22_rep7_msmethod,ms_condition,ms_mp\msmethodfile,GG22,1
Unknown,BandT_H3B_blo1_GB5_rep5_msmethod,ms_condition,ms_mp\msmethodfile,GB5,1
Unknown,BandT_D6B_blo1_BC14_rep6_msmethod,ms_condition,ms_mp\msmethodfile,BC14,1
Unknown,BandT_H5T_blo1_BG12_rep4_msmethod,ms_condition,ms_mp\msmethodfile,BG12,1
Unknown,BandT_H3B_blo1_GN6_rep6_msmethod,ms_condition,ms_mp\msmethodfile,GN6,1
Unknown,BandT_D6T_blo1_BI21_rep8_msmethod,ms_condition,ms_mp\msmethodfile,BI21,1
Unknown,BandT_H5B_blo1_BJ3_rep5_msmethod,ms_condition,ms_mp\msmethodfile,BJ3,1
Unknown,BandT_H5B_blo1_BO7_rep6_msmethod,ms_condition,ms_mp\msmethodfile,BO7,1
Unknown,BandT_qc_other_BP2_rep9_msmethod,ms_lib,ms_mp\msmethodfile,BP2,1
Unknown,BandT_qc_other_BP1_rep10_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_tb_other_GA24_rep9_msmethod,ms_tb,ms_mp\msmethodfile,GA24,1
Unknown,BandT_tb_other_RA23_rep10_msmethod,ms_tb,ms_mp\msmethodfile,RA23,1
Unknown,BandT_D4B_blo1_GC13_rep9_msmethod,ms_condition,ms_mp\msmethodfile,GC13,1
Unknown,BandT_H5T_blo1_BH8_rep5_msmethod,ms_condition,ms_mp\msmethodfile,BH8,1
Unknown,BandT_H5B_blo1_BC5_rep7_msmethod,ms_condition,ms_mp\msmethodfile,BC5,1
Unknown,BandT_H3B_blo1_GC5_rep7_msmethod,ms_condition,ms_mp\msmethodfile,GC5,1
Unknown,BandT_D2T_blo1_RO20_rep7_msmethod,ms_condition,ms_mp\msmethodfile,RO20,1
Unknown,BandT_D4T_blo1_GF18_rep8_msmethod,ms_condition,ms_mp\msmethodfile,GF18,1
Unknown,BandT_H3B_blo1_GC6_rep8_msmethod,ms_condition,ms_mp\msmethodfile,GC6,1
Unknown,BandT_D2B_blo1_RI17_rep4_msmethod,ms_condition,ms_mp\msmethodfile,RI17,1
Unknown,BandT_D2T_blo1_RO21_rep8_msmethod,ms_condition,ms_mp\msmethodfile,RO21,1
Unknown,BandT_H5T_blo1_BL9_rep6_msmethod,ms_condition,ms_mp\msmethodfile,BL9,1
Unknown,BandT_hyea_SysQC_BN1_rep4_msmethod,ms_sys,ms_mp\msmethodfile,BN1,1
Unknown,BandT_hyeb_SysQC_BN23_rep4_msmethod,ms_sys,ms_mp\msmethodfile,BN23,1
Unknown,BandT_D6B_blo1_BJ14_rep7_msmethod,ms_condition,ms_mp\msmethodfile,BJ14,1
Unknown,BandT_D6B_blo1_BI13_rep8_msmethod,ms_condition,ms_mp\msmethodfile,BI13,1
Unknown,BandT_H3T_blo1_GG9_rep7_msmethod,ms_condition,ms_mp\msmethodfile,GG9,1
Unknown,BandT_D2B_blo1_RA17_rep5_msmethod,ms_condition,ms_mp\msmethodfile,RA17,1
Unknown,BandT_H3T_blo1_GE11_rep8_msmethod,ms_condition,ms_mp\msmethodfile,GE11,1
Unknown,BandT_D6T_blo1_BJ19_rep9_msmethod,ms_condition,ms_mp\msmethodfile,BJ19,1
Unknown,BandT_H3B_blo1_GJ6_rep9_msmethod,ms_condition,ms_mp\msmethodfile,GJ6,1
Unknown,BandT_D4B_blo1_GP16_rep10_msmethod,ms_condition,ms_mp\msmethodfile,GP16,1
Unknown,BandT_H5T_blo1_BI12_rep7_msmethod,ms_condition,ms_mp\msmethodfile,BI12,1
Unknown,BandT_H3B_blo1_GL7_rep10_msmethod,ms_condition,ms_mp\msmethodfile,GL7,1
Unknown,BandT_qc_other_BP1_rep11_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_qc_other_BP1_rep12_msmethod,ms_lib,ms_mp\msmethodfile,BP1,1
Unknown,BandT_tb_other_GA23_rep11_msmethod,ms_tb,ms_mp\msmethodfile,GA23,1
Unknown,BandT_tb_other_BA23_rep12_msmethod,ms_tb,ms_mp\msmethodfile,BA23,1
Unknown,BandT_D2B_blo1_RN16_rep6_msmethod,ms_condition,ms_mp\msmethodfile,RN16,1
Unknown,BandT_D4T_blo1_GM18_rep9_msmethod,ms_condition,ms_mp\msmethodfile,GM18,1
Unknown,BandT_H5B_blo1_BH7_rep8_msmethod,ms_condition,ms_mp\msmethodfile,BH7,1
Unknown,BandT_H1T_blo1_RE10_rep1_msmethod,ms_condition,ms_mp\msmethodfile,RE10,1
