Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,GW0409_sysqc_SysQC_RI4_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RI4,1
Unknown,GW0409_qc_pre_RG8_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RG8,1
Unknown,GW0409_qc_pre_RG12_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RG12,1
Unknown,GW0409_qc2_pre_R1_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,R1,1
Unknown,GW0409_dm_pre_RH12_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RH12,1
Unknown,GW0409_dm_pre_RH19_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RH19,1
Unknown,GW0409_lib_pre_GB14_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,GB14,1
Unknown,GW0409_lib_pre_GB12_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,GB12,1
Unknown,GW0409_lib_pre_GB11_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,GB11,1
Unknown,GW0409_lib_pre_GB10_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,GB10,1
Unknown,GW0409_lib_pre_GB13_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,GB13,1
Unknown,GW0409_TrueBlank_pre_R5_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,R5,1
Unknown,GW0409_TrueBlank_pre_R5_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,R5,1
Unknown,GW0409_f_blo1_BC10_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,BC10,5
Unknown,GW0409_e_blo1_RF9_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RF9,5
Unknown,GW0409_a_blo1_RB9_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RB9,1
Unknown,GW0409_b_blo1_RC18_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RC18,1
Unknown,GW0409_apple_blo1_RE12_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RE12,5
Unknown,GW0409_c_blo1_RD22_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RD22,5
Unknown,GW0409_bananas_blo1_RM11_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RM11,1
Unknown,GW0409_g_blo1_BD13_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,BD13,5
Unknown,GW0409_sysqc_SysQC_RI5_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RI5,1
Unknown,GW0409_c_blo2_RD12_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RD12,5
Unknown,GW0409_b_blo2_RC20_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RC20,1
Unknown,GW0409_qc_other_RG15_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RG15,1
Unknown,GW0409_dm_other_RH5_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RH5,1
Unknown,GW0409_a_blo2_RB4_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RB4,1
Unknown,GW0409_e_blo2_RF15_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RF15,5
Unknown,GW0409_g_blo2_BD10_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,BD10,5
Unknown,GW0409_apple_blo2_RE7_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RE7,5
Unknown,GW0409_f_blo2_BC11_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,BC11,5
