Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,TH1043_Preblank1,,,GK11,1
Unknown,TH1043_Preblank2,,,GG11,1
Unknown,TH1043_DM_blo0_GK11_rep1_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GH11,1
Unknown,TH1043_DM_blo0_GG11_rep2_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GG10,1
Unknown,TH1043_DM_blo0_GH11_rep3_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GJ6,1
Unknown,TH1043_DM_blo0_GG10_rep4_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GJ4,1
Unknown,TH1043_Library_blo0_GJ6_rep1_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GJ7,1
Unknown,TH1043_Library_blo0_GJ4_rep2_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GJ3,1
Unknown,TH1043_Library_blo0_GJ7_rep3_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GJ8,1
Unknown,TH1043_Library_blo0_GJ3_rep4_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GJ5,1
Unknown,TH1043_Library_blo0_GJ8_rep5_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_Library_blo0_GJ5_rep6_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo0_GI19_rep1_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo0_GI19_rep2_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo0_GI19_rep3_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GC19,1
Unknown,TH1043_TB_blo0_GI19_rep4_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GC7,1
Unknown,TH1043_NanoPOTS_blo1_GC19_rep1_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GE21,1
Unknown,TH1043_Str_blo1_GC7_rep1_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GC6,1
Unknown,TH1043_NanoPOTS_blo1_GE21_rep2_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GE8,1
Unknown,TH1043_Epi_blo1_GC6_rep1_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GE11,1
Unknown,TH1043_Str_blo1_GE8_rep2_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GK10,1
Unknown,TH1043_DM_blo2_GE11_rep5_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GJ11,1
Unknown,TH1043_DM_blo2_GK10_rep6_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GE10,1
Unknown,TH1043_DM_blo2_GJ11_rep7_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_DM_blo2_GE10_rep8_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo2_GI19_rep5_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo2_GI19_rep6_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo2_GI19_rep7_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GD21,1
Unknown,TH1043_TB_blo2_GI19_rep8_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD3,1
Unknown,TH1043_NanoPOTS_blo3_GD21_rep3_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GD22,1
Unknown,TH1043_End_blo3_GD3_rep1_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GG5,1
Unknown,TH1043_NanoPOTS_blo3_GD22_rep4_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GC4,1
Unknown,TH1043_Epi_blo3_GG5_rep2_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD11,1
Unknown,TH1043_End_blo3_GC4_rep2_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GC11,1
Unknown,TH1043_DM_blo4_GD11_rep9_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD10,1
Unknown,TH1043_DM_blo4_GC11_rep10_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GC10,1
Unknown,TH1043_DM_blo4_GD10_rep11_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_DM_blo4_GC10_rep12_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo4_GI19_rep9_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo4_GI19_rep10_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo4_GI19_rep11_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GE4,1
Unknown,TH1043_TB_blo4_GI19_rep12_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GE16,1
Unknown,TH1043_End_blo5_GE4_rep3_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD5,1
Unknown,TH1043_NanoPOTS_blo5_GE16_rep5_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GD6,1
Unknown,TH1043_Epi_blo5_GD5_rep3_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD8,1
Unknown,TH1043_Epi_blo5_GD6_rep4_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GF11,1
Unknown,TH1043_Str_blo5_GD8_rep3_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI10,1
Unknown,TH1043_DM_blo6_GF11_rep13_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_DM_blo6_GI10_rep14_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo6_GI19_rep13_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo6_GI19_rep14_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo6_GI19_rep15_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GG7,1
Unknown,TH1043_TB_blo6_GI19_rep16_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GC16,1
Unknown,TH1043_Str_blo7_GG7_rep4_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GG4,1
Unknown,TH1043_NanoPOTS_blo7_GC16_rep6_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GE18,1
Unknown,TH1043_End_blo7_GG4_rep4_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GE22,1
Unknown,TH1043_NanoPOTS_blo7_GE18_rep7_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_NanoPOTS_blo7_GE22_rep8_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo8_GI19_rep17_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo8_GI19_rep18_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo8_GI19_rep19_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GE6,1
Unknown,TH1043_TB_blo8_GI19_rep20_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GC8,1
Unknown,TH1043_Epi_blo9_GE6_rep5_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD17,1
Unknown,TH1043_Str_blo9_GC8_rep5_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GG6,1
Unknown,TH1043_NanoPOTS_blo9_GD17_rep9_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GE7,1
Unknown,TH1043_Epi_blo9_GG6_rep6_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_Str_blo9_GE7_rep6_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo10_GI19_rep21_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo10_GI19_rep22_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo10_GI19_rep23_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GF3,1
Unknown,TH1043_TB_blo10_GI19_rep24_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GG3,1
Unknown,TH1043_End_blo11_GF3_rep5_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GD16,1
Unknown,TH1043_End_blo11_GG3_rep6_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GC22,1
Unknown,TH1043_NanoPOTS_blo11_GD16_rep10_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GE17,1
Unknown,TH1043_NanoPOTS_blo11_GC22_rep11_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_NanoPOTS_blo11_GE17_rep12_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo12_GI19_rep25_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo12_GI19_rep26_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo12_GI19_rep27_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GC20,1
Unknown,TH1043_TB_blo12_GI19_rep28_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GC18,1
Unknown,TH1043_NanoPOTS_blo13_GC20_rep13_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GF7,1
Unknown,TH1043_NanoPOTS_blo13_GC18_rep14_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GD7,1
Unknown,TH1043_Str_blo13_GF7_rep7_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GF5,1
Unknown,TH1043_Str_blo13_GD7_rep8_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_Epi_blo13_GF5_rep7_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo14_GI19_rep29_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo14_GI19_rep30_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo14_GI19_rep31_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GC21,1
Unknown,TH1043_TB_blo14_GI19_rep32_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GC3,1
Unknown,TH1043_NanoPOTS_blo15_GC21_rep15_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GE5,1
Unknown,TH1043_End_blo15_GC3_rep7_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD19,1
Unknown,TH1043_Epi_blo15_GE5_rep8_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GE3,1
Unknown,TH1043_NanoPOTS_blo15_GD19_rep16_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_End_blo15_GE3_rep8_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo16_GI19_rep33_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo16_GI19_rep34_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo16_GI19_rep35_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD20,1
Unknown,TH1043_TB_blo16_GI19_rep36_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GF4,1
Unknown,TH1043_NanoPOTS_blo17_GD20_rep17_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GC5,1
Unknown,TH1043_End_blo17_GF4_rep9_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GF6,1
Unknown,TH1043_Epi_blo17_GC5_rep9_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GG8,1
Unknown,TH1043_Epi_blo17_GF6_rep10_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_Str_blo17_GG8_rep9_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo18_GI19_rep37_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo18_GI19_rep38_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
Unknown,TH1043_TB_blo18_GI19_rep39_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GE20,1
Unknown,TH1043_TB_blo18_GI19_rep40_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD4,1
Unknown,TH1043_NanoPOTS_blo19_GE20_rep18_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GE19,1
Unknown,TH1043_End_blo19_GD4_rep10_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GD18,1
Unknown,TH1043_NanoPOTS_blo19_GE19_rep19_ch2_DIA20ng,,D:/method/Chao/something\DIA20ng,GF8,1
Unknown,TH1043_NanoPOTS_blo19_GD18_rep20_ch1_DIA20ng,,D:/method/Chao/something\DIA20ng,GI19,1
