Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,XS0821_Preblank1,C:/data/Ximena/Gonda,DIA20ng,RA1,1
Unknown,XS0821_Preblank2,C:/data/Ximena/Gonda,DIA20ng,RA1,1
Unknown,XS0821_QC_blo0_RB3_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB3,1
Unknown,XS0821_QC_blo0_RB2_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RB2,1
Unknown,XS0821_QC_blo0_RB5_rep3_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB5,1
Unknown,XS0821_TrueBlank_blo0_RA1_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RA1,1
Unknown,XS0821_21_blo1_RG16_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RG16,1
Unknown,XS0821_7_blo1_RH9_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RH9,1
Unknown,XS0821_12_blo1_RM10_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RM10,1
Unknown,XS0821_5_blo1_RF13_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RF13,1
Unknown,XS0821_5_blo1_RF12_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RF12,1
Unknown,XS0821_10_blo1_RK13_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RK13,1
Unknown,XS0821_24_blo1_RJ19_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RJ19,1
Unknown,XS0821_6_blo1_RG10_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RG10,1
