Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,drug123_Preblank1,lc_sys,lc_mp\ChannelA_lcmethodfile,BP23,1
Unknown,drug123_Preblank2,lc_sys,lc_mp\ChannelB_lcmethodfile,BB24,1
Unknown,drug123_sys_qc_SysQC_BP23_rep1_ch1_msmethod,lc_sys,lc_mp\ChannelA_lcmethodfile,RH1,1
Unknown,drug123_sys_qc_SysQC_BB24_rep2_ch2_msmethod,lc_sys,lc_mp\ChannelB_lcmethodfile,GG2,1
Unknown,drug123_QC_pre_RH1_rep1_ch1_msmethod,lc_qc,lc_mp\ChannelA_lcmethodfile,GL24,1
Unknown,drug123_QC_pre_GG2_rep2_ch2_msmethod,lc_qc,lc_mp\ChannelB_lcmethodfile,RE24,1
Unknown,drug123_digest_mix_pre_GL24_rep1_ch1_msmethod,lc_dm,lc_mp\ChannelA_lcmethodfile,BA1,1
Unknown,drug123_digest_mix_pre_RE24_rep2_ch2_msmethod,lc_dm,lc_mp\ChannelB_lcmethodfile,BN16,1
Unknown,drug123_true_blank_pre_BA1_rep1_ch1_msmethod,lc_tb,lc_mp\ChannelA_lcmethodfile,RM14,1
Unknown,drug123_D3t2_blo1_BN16_rep1_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,RA16,1
Unknown,drug123_D1t2_blo1_RM14_rep1_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BM21,1
Unknown,drug123_D1t2_blo1_RA16_rep2_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BA9,1
Unknown,drug123_D3t3_blo1_BM21_rep1_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GJ14,1
Unknown,drug123_D3t1_blo1_BA9_rep1_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,RH22,1
Unknown,drug123_D2t2_blo1_GJ14_rep1_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RJ12,1
Unknown,drug123_D1t3_blo1_RH22_rep1_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GL10,1
Unknown,drug123_D1t1_blo1_RJ12_rep1_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GD11,1
Unknown,drug123_D2t1_blo1_GL10_rep1_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BA5,1
Unknown,drug123_D2t1_blo1_GD11_rep2_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BP14,1
Unknown,drug123_D3t0_blo1_BA5_rep1_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GO3,1
Unknown,drug123_D3t2_blo1_BP14_rep2_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GG20,1
Unknown,drug123_D2t0_blo1_GO3_rep1_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,RI8,1
Unknown,drug123_D2t3_blo1_GG20_rep1_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RK22,1
Unknown,drug123_D1t1_blo1_RI8_rep2_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GH21,1
Unknown,drug123_D1t3_blo1_RK22_rep2_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,RH4,1
Unknown,drug123_D2t3_blo1_GH21_rep2_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GE16,1
Unknown,drug123_D1t0_blo1_RH4_rep1_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BC9,1
Unknown,drug123_D2t2_blo1_GE16_rep2_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,GO1,1
Unknown,drug123_D3t1_blo1_BC9_rep2_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,GK24,1
Unknown,drug123_QC_other_GO1_rep3_ch2_msmethod,lc_qc,lc_mp\ChannelB_lcmethodfile,BA1,1
Unknown,drug123_digest_mix_other_GK24_rep3_ch1_msmethod,lc_dm,lc_mp\ChannelA_lcmethodfile,RL5,1
Unknown,drug123_true_blank_other_BA1_rep2_ch2_msmethod,lc_tb,lc_mp\ChannelB_lcmethodfile,GK4,1
Unknown,drug123_D1t0_blo1_RL5_rep2_ch1_msmethod,lc_condition,lc_mp\ChannelA_lcmethodfile,BC23,1
Unknown,drug123_D2t0_blo1_GK4_rep2_ch2_msmethod,lc_condition,lc_mp\ChannelB_lcmethodfile,BC24,1
