Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,drug123_sys_qc_SysQC_GL24_rep1_msmethod,ms_sys,ms_mp\msmethodfile,GL24,1
Unknown,drug123_QC_pre_RB2_rep1_msmethod,ms_qc,ms_mp\msmethodfile,RB2,1
Unknown,drug123_QC_pre_RP2_rep2_msmethod,ms_qc,ms_mp\msmethodfile,RP2,1
Unknown,drug123_digest_mix_pre_RB23_rep1_msmethod,ms_dm,ms_mp\msmethodfile,RB23,1
Unknown,drug123_digest_mix_pre_RD23_rep2_msmethod,ms_dm,ms_mp\msmethodfile,RD23,1
Unknown,drug123_true_blank_pre_BA1_rep1_msmethod,ms_tb,ms_mp\msmethodfile,BA1,1
Unknown,drug123_D1t2_blo1_RO13_rep1_msmethod,ms_condition,ms_mp\msmethodfile,RO13,1
Unknown,drug123_D3t1_blo1_BF12_rep1_msmethod,ms_condition,ms_mp\msmethodfile,BF12,1
Unknown,drug123_D2t0_blo1_GM4_rep1_msmethod,ms_condition,ms_mp\msmethodfile,GM4,1
Unknown,drug123_D3t3_blo1_BC22_rep1_msmethod,ms_condition,ms_mp\msmethodfile,BC22,1
Unknown,drug123_D3t0_blo1_BA7_rep1_msmethod,ms_condition,ms_mp\msmethodfile,BA7,1
Unknown,drug123_D2t3_blo1_GB19_rep1_msmethod,ms_condition,ms_mp\msmethodfile,GB19,1
Unknown,drug123_D2t2_blo1_GB15_rep1_msmethod,ms_condition,ms_mp\msmethodfile,GB15,1
Unknown,drug123_D3t2_blo1_BL17_rep1_msmethod,ms_condition,ms_mp\msmethodfile,BL17,1
Unknown,drug123_D1t0_blo1_RN6_rep1_msmethod,ms_condition,ms_mp\msmethodfile,RN6,1
Unknown,drug123_D2t1_blo1_GA12_rep1_msmethod,ms_condition,ms_mp\msmethodfile,GA12,1
Unknown,drug123_D1t3_blo1_RO21_rep1_msmethod,ms_condition,ms_mp\msmethodfile,RO21,1
Unknown,drug123_D1t1_blo1_RF11_rep1_msmethod,ms_condition,ms_mp\msmethodfile,RF11,1
Unknown,drug123_D2t1_blo2_GA11_rep2_msmethod,ms_condition,ms_mp\msmethodfile,GA11,1
Unknown,drug123_D3t2_blo2_BG16_rep2_msmethod,ms_condition,ms_mp\msmethodfile,BG16,1
Unknown,drug123_D3t1_blo2_BO11_rep2_msmethod,ms_condition,ms_mp\msmethodfile,BO11,1
Unknown,drug123_D1t2_blo2_RM15_rep2_msmethod,ms_condition,ms_mp\msmethodfile,RM15,1
Unknown,drug123_D1t0_blo2_RJ6_rep2_msmethod,ms_condition,ms_mp\msmethodfile,RJ6,1
Unknown,drug123_D3t3_blo2_BD21_rep2_msmethod,ms_condition,ms_mp\msmethodfile,BD21,1
Unknown,drug123_D2t2_blo2_GM14_rep2_msmethod,ms_condition,ms_mp\msmethodfile,GM14,1
Unknown,drug123_D1t1_blo2_RP12_rep2_msmethod,ms_condition,ms_mp\msmethodfile,RP12,1
Unknown,drug123_QC_other_RF1_rep3_msmethod,ms_qc,ms_mp\msmethodfile,RF1,1
Unknown,drug123_digest_mix_other_RM23_rep3_msmethod,ms_dm,ms_mp\msmethodfile,RM23,1
Unknown,drug123_true_blank_other_BA1_rep2_msmethod,ms_tb,ms_mp\msmethodfile,BA1,1
Unknown,drug123_D2t0_blo2_GB7_rep2_msmethod,ms_condition,ms_mp\msmethodfile,GB7,1
Unknown,drug123_D3t0_blo2_BP5_rep2_msmethod,ms_condition,ms_mp\msmethodfile,BP5,1
Unknown,drug123_sys_qc_SysQC_GO24_rep2_msmethod,ms_sys,ms_mp\msmethodfile,GO24,1
Unknown,drug123_D1t3_blo2_RK22_rep2_msmethod,ms_condition,ms_mp\msmethodfile,RK22,1
