Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,sysqc_SysQC_RI4_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RI4,1
Unknown,qc_pre_RG15_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RG15,1
Unknown,qc_pre_RG11_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RG11,1
Unknown,qc2_pre_R1_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,R1,1
Unknown,dm_pre_RH16_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RH16,1
Unknown,dm_pre_RH20_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RH20,1
Unknown,lib_pre_GB10_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,GB10,1
Unknown,lib_pre_GB11_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,GB11,1
Unknown,lib_pre_GB12_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,GB12,1
Unknown,lib_pre_GB13_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,GB13,1
Unknown,lib_pre_GB14_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,GB14,1
Unknown,TrueBlank_pre_R5_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,R5,1
Unknown,TrueBlank_pre_R5_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,R5,1
Unknown,g_blo1_BD13_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,BD13,5
Unknown,b_blo1_RC17_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RC17,1
Unknown,c_blo1_RD11_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RD11,5
Unknown,e_blo1_RF3_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RF3,5
Unknown,b_blo1_RC13_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RC13,1
Unknown,apple_blo1_RE15_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RE15,5
Unknown,e_blo1_RF21_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RF21,5
Unknown,e_blo1_RF22_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RF22,5
Unknown,sysqc_SysQC_RI5_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RI5,1
Unknown,bananas_blo1_RM14_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RM14,1
Unknown,bananas_blo1_RM2_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RM2,1
Unknown,qc_other_RG13_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RG13,1
Unknown,qc2_other_R1_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,R1,1
Unknown,dm_other_RH8_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RH8,1
Unknown,c_blo1_RD18_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RD18,5
Unknown,apple_blo1_RE20_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RE20,5
Unknown,f_blo1_BC11_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,BC11,5
Unknown,e_blo1_RF8_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RF8,5
Unknown,a_blo1_RB3_rep1_msmethod,msdatapath,msmethodpath\msmethodfilename,RB3,1
Unknown,bananas_blo1_RM10_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RM10,1
Unknown,b_blo1_RC12_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RC12,1
Unknown,apple_blo1_RE18_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RE18,5
Unknown,c_blo1_RD9_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RD9,5
Unknown,b_blo1_RC10_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RC10,1
Unknown,qc_other_RG10_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RG10,1
Unknown,qc2_other_R1_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,R1,1
Unknown,dm_other_RH19_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RH19,1
Unknown,apple_blo1_RE19_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RE19,5
Unknown,c_blo1_RD15_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RD15,5
Unknown,sysqc_SysQC_RI6_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RI6,1
Unknown,e_blo1_RF12_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,RF12,5
Unknown,a_blo1_RB2_rep2_msmethod,msdatapath,msmethodpath\msmethodfilename,RB2,1
Unknown,a_blo1_RB7_rep3_msmethod,msdatapath,msmethodpath\msmethodfilename,RB7,1
Unknown,a_blo1_RB16_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RB16,1
Unknown,bananas_blo1_RM11_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RM11,1
Unknown,bananas_blo2_RM3_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,RM3,1
Unknown,e_blo2_RF16_rep6_msmethod,msdatapath,msmethodpath\msmethodfilename,RF16,5
Unknown,a_blo2_RB19_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,RB19,1
Unknown,qc_other_RG5_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,RG5,1
Unknown,qc2_other_R1_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,R1,1
Unknown,dm_other_RH4_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,RH4,1
Unknown,b_blo2_RC3_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,RC3,1
Unknown,e_blo2_RF10_rep7_msmethod,msdatapath,msmethodpath\msmethodfilename,RF10,5
Unknown,c_blo2_RD4_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,RD4,5
Unknown,e_blo2_RF4_rep8_msmethod,msdatapath,msmethodpath\msmethodfilename,RF4,5
Unknown,bananas_blo2_RM13_rep6_msmethod,msdatapath,msmethodpath\msmethodfilename,RM13,1
Unknown,c_blo2_RD21_rep6_msmethod,msdatapath,msmethodpath\msmethodfilename,RD21,5
Unknown,apple_blo2_RE4_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,RE4,5
Unknown,a_blo2_RB23_rep6_msmethod,msdatapath,msmethodpath\msmethodfilename,RB23,1
Unknown,b_blo2_RC19_rep6_msmethod,msdatapath,msmethodpath\msmethodfilename,RC19,1
Unknown,sysqc_SysQC_RI7_rep4_msmethod,msdatapath,msmethodpath\msmethodfilename,RI7,1
Unknown,e_blo2_RF14_rep9_msmethod,msdatapath,msmethodpath\msmethodfilename,RF14,5
Unknown,qc_other_RG9_rep6_msmethod,msdatapath,msmethodpath\msmethodfilename,RG9,1
Unknown,qc2_other_R1_rep5_msmethod,msdatapath,msmethodpath\msmethodfilename,R1,1
Unknown,dm_other_RH6_rep6_msmethod,msdatapath,msmethodpath\msmethodfilename,RH6,1
Unknown,bananas_blo2_RM21_rep7_msmethod,msdatapath,msmethodpath\msmethodfilename,RM21,1
Unknown,b_blo2_RC2_rep7_msmethod,msdatapath,msmethodpath\msmethodfilename,RC2,1
