Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,LL2112_timeP4_Preblank1,C:\data\Chao\202603Astral\LL2112_TimeP4\QC,C:\Xcalibur\methods\Chao\5min\ChannelA_5min,BA1,1
Unknown,LL2112_timeP4_Preblank2,C:\data\Chao\202603Astral\LL2112_TimeP4\QC,C:\Xcalibur\methods\Chao\5min\ChannelB_5min,BA1,1
Unknown,LL2112_timeP4_200pg_QC_SysQC_BA1_rep1_ch1_DIA250pg_wet1uL,C:\data\Chao\202603Astral\LL2112_TimeP4\QC,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BA23,1
Unknown,LL2112_timeP4_200pg_QC_SysQC_BA1_rep2_ch2_DIA250pg_wet1uL,C:\data\Chao\202603Astral\LL2112_TimeP4\QC,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BA14,1
Unknown,LL2112_timeP4_24hr_DM_pre_BA23_rep1_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BE6,1
Unknown,LL2112_timeP4_24hr_DM_pre_BA14_rep2_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BN5,1
Unknown,LL2112_timeP4_24hr_25_blo1_BE6_rep1_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BC18,1
Unknown,LL2112_timeP4_24hr_PBS_blo1_BN5_rep1_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BE20,1
Unknown,LL2112_timeP4_24hr_PBS_blo1_BC18_rep2_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BI3,1
Unknown,LL2112_timeP4_24hr_25_blo1_BE20_rep2_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BO5,1
Unknown,LL2112_timeP4_24hr_100_blo1_BI3_rep1_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BL21,1
Unknown,LL2112_timeP4_24hr_100_blo1_BO5_rep2_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BK3,1
Unknown,LL2112_timeP4_24hr_200_blo1_BL21_rep1_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BD12,1
Unknown,LL2112_timeP4_24hr_200_blo1_BK3_rep2_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BI10,1
Unknown,LL2112_timeP4_24hr_PBS_blo2_BD12_rep3_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BN21,1
Unknown,LL2112_timeP4_24hr_100_blo2_BI10_rep3_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BG22,1
Unknown,LL2112_timeP4_24hr_25_blo2_BN21_rep3_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BL15,1
Unknown,LL2112_timeP4_24hr_25_blo2_BG22_rep4_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BK10,1
Unknown,LL2112_timeP4_24hr_200_blo2_BL15_rep3_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BI5,1
Unknown,LL2112_timeP4_24hr_200_blo2_BK10_rep4_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BD6,1
Unknown,LL2112_timeP4_24hr_100_blo2_BI5_rep4_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BN24,1
Unknown,LL2112_timeP4_24hr_PBS_blo2_BD6_rep4_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BN4,1
Unknown,LL2112_timeP4_24hr_200_blo3_BN24_rep5_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BI24,1
Unknown,LL2112_timeP4_24hr_PBS_blo3_BN4_rep5_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BE12,1
Unknown,LL2112_timeP4_24hr_100_blo3_BI24_rep5_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BF4,1
Unknown,LL2112_timeP4_24hr_25_blo3_BE12_rep5_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BJ5,1
Unknown,LL2112_timeP4_24hr_25_blo3_BF4_rep6_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BB24,1
Unknown,LL2112_timeP4_24hr_100_blo3_BJ5_rep6_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BM18,1
Unknown,LL2112_timeP4_24hr_PBS_blo3_BB24_rep6_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BB13,1
Unknown,LL2112_timeP4_24hr_200_blo3_BM18_rep6_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BG4,1
Unknown,LL2112_timeP4_24hr_PBS_blo4_BB13_rep7_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BK11,1
Unknown,LL2112_timeP4_24hr_25_blo4_BG4_rep7_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BI6,1
Unknown,LL2112_timeP4_24hr_200_blo4_BK11_rep7_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BG6,1
Unknown,LL2112_timeP4_24hr_100_blo4_BI6_rep7_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BM4,1
Unknown,LL2112_timeP4_24hr_25_blo4_BG6_rep8_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BI1,1
Unknown,LL2112_timeP4_24hr_200_blo4_BM4_rep8_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BB5,1
Unknown,LL2112_timeP4_24hr_100_blo4_BI1_rep8_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BJ1,1
Unknown,LL2112_timeP4_24hr_PBS_blo4_BB5_rep8_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BP14,1
Unknown,LL2112_timeP4_24hr_100_blo5_BJ1_rep9_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min_dry,BF24,1
Unknown,LL2112_timeP4_24hr_200_blo5_BP14_rep9_ch2_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelB_5min_dry,BF2,1
Unknown,LL2112_timeP4_24hr_25_blo5_BF24_rep9_ch1_DIA250pg_dry,C:\data\Chao\202603Astral\LL2112_TimeP4,C:\Xcalibur\methods\Chao\5min\ChannelA_5min,BA1,1
