Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,LL2112_timeP4_Preblank1,E:\data\Chao\202604Astral\LL2112_TimeP4\QC,C:\Method\Chao\202603\DIA250pg,BA1,1
Unknown,LL2112_timeP4_Preblank2,E:\data\Chao\202604Astral\LL2112_TimeP4\QC,C:\Method\Chao\202603\DIA250pg,BA1,1
Unknown,LL2112_timeP4_200pg_QC_SysQC_BA1_rep1_ch1_DIA250pg_wet1uL,E:\data\Chao\202604Astral\LL2112_TimeP4\QC,C:\Method\Chao\202603\DIA250pg,BA23,1
Unknown,LL2112_timeP4_200pg_QC_SysQC_BA1_rep2_ch2_DIA250pg_wet1uL,E:\data\Chao\202604Astral\LL2112_TimeP4\QC,C:\Method\Chao\202603\DIA250pg,BA14,1
Unknown,LL2112_timeP4_24hr_DM_pre_BA23_rep1_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BE6,1
Unknown,LL2112_timeP4_24hr_DM_pre_BA14_rep2_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BN5,1
Unknown,LL2112_timeP4_24hr_25_blo1_BE6_rep1_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BC18,1
Unknown,LL2112_timeP4_24hr_PBS_blo1_BN5_rep1_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BE20,1
Unknown,LL2112_timeP4_24hr_PBS_blo1_BC18_rep2_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BI3,1
Unknown,LL2112_timeP4_24hr_25_blo1_BE20_rep2_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BO5,1
Unknown,LL2112_timeP4_24hr_100_blo1_BI3_rep1_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BL21,1
Unknown,LL2112_timeP4_24hr_100_blo1_BO5_rep2_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BK3,1
Unknown,LL2112_timeP4_24hr_200_blo1_BL21_rep1_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BD12,1
Unknown,LL2112_timeP4_24hr_200_blo1_BK3_rep2_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BI10,1
Unknown,LL2112_timeP4_24hr_PBS_blo2_BD12_rep3_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BN21,1
Unknown,LL2112_timeP4_24hr_100_blo2_BI10_rep3_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BG22,1
Unknown,LL2112_timeP4_24hr_25_blo2_BN21_rep3_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BL15,1
Unknown,LL2112_timeP4_24hr_25_blo2_BG22_rep4_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BK10,1
Unknown,LL2112_timeP4_24hr_200_blo2_BL15_rep3_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BI5,1
Unknown,LL2112_timeP4_24hr_200_blo2_BK10_rep4_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BD6,1
Unknown,LL2112_timeP4_24hr_100_blo2_BI5_rep4_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BN24,1
Unknown,LL2112_timeP4_24hr_PBS_blo2_BD6_rep4_ch2_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BN4,1
Unknown,LL2112_timeP4_24hr_200_blo3_BN24_rep5_ch1_DIA250pg_dry,E:\data\Chao\202604Astral\LL2112_TimeP4,C:\Method\Chao\202603\DIA250pg,BI24,1
