Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,GW0711_SV_SysQC_RK4_rep1_dry,msdatapath,msmethodpath\LF_12ms,RK4,1
Unknown,GW0711_QC_blo1_RD15_rep1_dry,msdatapath,msmethodpath\LF_12ms,RD15,1
Unknown,GW0711_QC_blo1_BD10_rep2_dry,msdatapath,msmethodpath\LF_12ms,BD10,1
Unknown,GW0711_QC_blo1_BD14_rep3_dry,msdatapath,msmethodpath\LF_12ms,BD14,1
Unknown,GW0711_QC_blo1_RD21_rep4_dry,msdatapath,msmethodpath\LF_12ms,RD21,1
Unknown,GW0711_QC_blo1_BD22_rep5_dry,msdatapath,msmethodpath\LF_12ms,BD22,1
Unknown,GW0711_QC_blo1_BD9_rep6_dry,msdatapath,msmethodpath\LF_12ms,BD9,1
Unknown,GW0711_QC_blo1_BD8_rep7_dry,msdatapath,msmethodpath\LF_12ms,BD8,1
Unknown,GW0711_QC_blo1_RD17_rep8_dry,msdatapath,msmethodpath\LF_12ms,RD17,1
Unknown,GW0711_QC_blo1_BD18_rep9_dry,msdatapath,msmethodpath\LF_12ms,BD18,1
Unknown,GW0711_QC_blo1_BD4_rep10_dry,msdatapath,msmethodpath\LF_12ms,BD4,1
Unknown,GW0711_digest_mix_blo1_BE20_rep1_dry,msdatapat,msmethodpath\LF_12ms,BE20,1
Unknown,GW0711_digest_mix_blo1_BE9_rep2_dry,msdatapat,msmethodpath\LF_12ms,BE9,1
Unknown,GW0711_digest_mix_blo1_BE4_rep3_dry,msdatapat,msmethodpath\LF_12ms,BE4,1
Unknown,GW0711_digest_mix_blo1_BE8_rep4_dry,msdatapat,msmethodpath\LF_12ms,BE8,1
Unknown,GW0711_digest_mix_blo1_RE7_rep5_dry,msdatapat,msmethodpath\LF_12ms,RE7,1
Unknown,GW0711_digest_mix_blo1_RE8_rep6_dry,msdatapat,msmethodpath\LF_12ms,RE8,1
Unknown,GW0711_digest_mix_blo1_BE11_rep7_dry,msdatapat,msmethodpath\LF_12ms,BE11,1
Unknown,GW0711_digest_mix_blo1_RE4_rep8_dry,msdatapat,msmethodpath\LF_12ms,RE4,1
Unknown,GW0711_digest_mix_blo1_RE22_rep9_dry,msdatapat,msmethodpath\LF_12ms,RE22,1
Unknown,GW0711_digest_mix_blo1_RE5_rep10_dry,msdatapat,msmethodpath\LF_12ms,RE5,1
Unknown,GW0711_lib_blo1_GC13_rep1_dry,msdatapath,msmethodpath\LF_12ms,GC13,1
Unknown,GW0711_lib_blo1_BC10_rep1_dry,msdatapath,msmethodpath\LF_12ms,BC10,1
Unknown,GW0711_lib_blo1_RC7_rep2_dry,msdatapath,msmethodpath\LF_12ms,RC7,1
Unknown,GW0711_lib_blo1_GC22_rep2_dry,msdatapath,msmethodpath\LF_12ms,GC22,1
Unknown,GW0711_lib_blo1_BC20_rep3_dry,msdatapath,msmethodpath\LF_12ms,BC20,1
Unknown,GW0711_TrueBlank_TrueBlank_RA1_rep1_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_SV_SysQC_RK5_rep2_dry,msdatapath,msmethodpath\LF_12ms,RK5,1
Unknown,GW0711_lib_blo1_BC3_rep4_dry,msdatapath,msmethodpath\LF_12ms,BC3,1
Unknown,GW0711_lib_blo1_GC4_rep3_dry,msdatapath,msmethodpath\LF_12ms,GC4,1
Unknown,GW0711_lib_blo1_GC11_rep4_dry,msdatapath,msmethodpath\LF_12ms,GC11,1
Unknown,GW0711_lib_blo1_BC21_rep5_dry,msdatapath,msmethodpath\LF_12ms,BC21,1
Unknown,GW0711_lib_blo1_BC16_rep6_dry,msdatapath,msmethodpath\LF_12ms,BC16,1
Unknown,GW0711_lib_blo1_RC10_rep7_dry,msdatapath,msmethodpath\LF_12ms,RC10,1
Unknown,GW0711_lib_blo1_BC14_rep8_dry,msdatapath,msmethodpath\LF_12ms,BC14,1
Unknown,GW0711_lib_blo1_RC17_rep9_dry,msdatapath,msmethodpath\LF_12ms,RC17,1
Unknown,GW0711_lib_blo1_GC19_rep5_dry,msdatapath,msmethodpath\LF_12ms,GC19,1
Unknown,GW0711_lib_blo1_BC4_rep10_dry,msdatapath,msmethodpath\LF_12ms,BC4,1
Unknown,GW0711_lib_blo1_RC21_rep11_dry,msdatapath,msmethodpath\LF_12ms,RC21,1
Unknown,GW0711_lib_blo1_GC5_rep6_dry,msdatapath,msmethodpath\LF_12ms,GC5,1
Unknown,GW0711_lib_blo1_GC12_rep7_dry,msdatapath,msmethodpath\LF_12ms,GC12,1
Unknown,GW0711_lib_blo1_RC11_rep12_dry,msdatapath,msmethodpath\LF_12ms,RC11,1
Unknown,GW0711_lib_blo1_BC19_rep13_dry,msdatapath,msmethodpath\LF_12ms,BC19,1
Unknown,GW0711_lib_blo1_RC16_rep14_dry,msdatapath,msmethodpath\LF_12ms,RC16,1
Unknown,GW0711_lib_blo1_RC4_rep15_dry,msdatapath,msmethodpath\LF_12ms,RC4,1
Unknown,GW0711_lib_blo1_BC17_rep16_dry,msdatapath,msmethodpath\LF_12ms,BC17,1
Unknown,GW0711_lib_blo1_RC3_rep17_dry,msdatapath,msmethodpath\LF_12ms,RC3,1
Unknown,GW0711_lib_blo1_GC3_rep8_dry,msdatapath,msmethodpath\LF_12ms,GC3,1
Unknown,GW0711_lib_blo1_GC9_rep9_dry,msdatapath,msmethodpath\LF_12ms,GC9,1
Unknown,GW0711_lib_blo1_GC15_rep10_dry,msdatapath,msmethodpath\LF_12ms,GC15,1
Unknown,GW0711_lib_blo1_BC15_rep18_dry,msdatapath,msmethodpath\LF_12ms,BC15,1
Unknown,GW0711_lib_blo1_GC20_rep11_dry,msdatapath,msmethodpath\LF_12ms,GC20,1
Unknown,GW0711_lib_blo1_RC20_rep19_dry,msdatapath,msmethodpath\LF_12ms,RC20,1
Unknown,GW0711_TrueBlank_TrueBlank_RA1_rep2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_blo1_GC6_rep12_dry,msdatapath,msmethodpath\LF_12ms,GC6,1
Unknown,GW0711_lib_blo1_GC14_rep13_dry,msdatapath,msmethodpath\LF_12ms,GC14,1
Unknown,GW0711_lib_blo1_BC22_rep20_dry,msdatapath,msmethodpath\LF_12ms,BC22,1
Unknown,GW0711_lib_blo1_RC9_rep21_dry,msdatapath,msmethodpath\LF_12ms,RC9,1
Unknown,GW0711_lib_blo1_BC11_rep22_dry,msdatapath,msmethodpath\LF_12ms,BC11,1
Unknown,GW0711_lib_blo1_BC9_rep23_dry,msdatapath,msmethodpath\LF_12ms,BC9,1
Unknown,GW0711_lib_blo1_GC8_rep14_dry,msdatapath,msmethodpath\LF_12ms,GC8,1
Unknown,GW0711_lib_blo1_GC21_rep15_dry,msdatapath,msmethodpath\LF_12ms,GC21,1
Unknown,GW0711_lib_blo1_GC7_rep16_dry,msdatapath,msmethodpath\LF_12ms,GC7,1
Unknown,GW0711_lib_blo1_GC16_rep17_dry,msdatapath,msmethodpath\LF_12ms,GC16,1
Unknown,GW0711_lib_blo1_RC18_rep24_dry,msdatapath,msmethodpath\LF_12ms,RC18,1
Unknown,GW0711_lib_blo1_BC8_rep25_dry,msdatapath,msmethodpath\LF_12ms,BC8,1
Unknown,GW0711_lib_blo1_BC6_rep26_dry,msdatapath,msmethodpath\LF_12ms,BC6,1
Unknown,GW0711_lib_blo1_RC6_rep27_dry,msdatapath,msmethodpath\LF_12ms,RC6,1
Unknown,GW0711_lib_blo1_BC7_rep28_dry,msdatapath,msmethodpath\LF_12ms,BC7,1
Unknown,GW0711_lib_blo1_GC10_rep18_dry,msdatapath,msmethodpath\LF_12ms,GC10,1
Unknown,GW0711_lib_blo1_RC5_rep29_dry,msdatapath,msmethodpath\LF_12ms,RC5,1
Unknown,GW0711_lib_blo1_RC19_rep30_dry,msdatapath,msmethodpath\LF_12ms,RC19,1
Unknown,GW0711_lib_blo1_BC13_rep31_dry,msdatapath,msmethodpath\LF_12ms,BC13,1
Unknown,GW0711_lib_blo1_GC18_rep19_dry,msdatapath,msmethodpath\LF_12ms,GC18,1
Unknown,GW0711_lib_blo1_RC12_rep32_dry,msdatapath,msmethodpath\LF_12ms,RC12,1
Unknown,GW0711_lib_blo1_RC8_rep33_dry,msdatapath,msmethodpath\LF_12ms,RC8,1
Unknown,GW0711_lib_blo1_RC15_rep34_dry,msdatapath,msmethodpath\LF_12ms,RC15,1
Unknown,GW0711_lib_blo1_RC13_rep35_dry,msdatapath,msmethodpath\LF_12ms,RC13,1
Unknown,GW0711_lib_blo1_BC5_rep36_dry,msdatapath,msmethodpath\LF_12ms,BC5,1
Unknown,GW0711_TrueBlank_TrueBlank_RA1_rep3_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_blo1_BC12_rep37_dry,msdatapath,msmethodpath\LF_12ms,BC12,1
Unknown,GW0711_lib_blo1_RC14_rep38_dry,msdatapath,msmethodpath\LF_12ms,RC14,1
Unknown,GW0711_lib_blo1_BC18_rep39_dry,msdatapath,msmethodpath\LF_12ms,BC18,1
Unknown,GW0711_lib_blo1_GC17_rep20_dry,msdatapath,msmethodpath\LF_12ms,GC17,1
Unknown,GW0711_lib_blo1_RC22_rep40_dry,msdatapath,msmethodpath\LF_12ms,RC22,1
Unknown,GW0711_orange_blo2_RG20_rep1_dry,msdatapath,msmethodpath\LF_12ms,RG20,1
Unknown,GW0711_red_blo2_GB22_rep1_dry,msdatapath,msmethodpath\LF_12ms,GB22,1
Unknown,GW0711_purple_blo2_GD18_rep1_dry,msdatapath,msmethodpath\LF_12ms,GD18,1
Unknown,GW0711_orange_blo2_RG22_rep2_dry,msdatapath,msmethodpath\LF_12ms,RG22,1
Unknown,GW0711_orange_blo2_RG11_rep3_dry,msdatapath,msmethodpath\LF_12ms,RG11,1
Unknown,GW0711_blue_blo2_GE21_rep1_dry,msdatapath,msmethodpath\LF_12ms,GE21,1
Unknown,GW0711_purple_blo2_GD7_rep2_dry,msdatapath,msmethodpath\LF_12ms,GD7,1
Unknown,GW0711_green_blo2_RF6_rep1_dry,msdatapath,msmethodpath\LF_12ms,RF6,1
Unknown,GW0711_red_blo2_GB7_rep2_dry,msdatapath,msmethodpath\LF_12ms,GB7,1
Unknown,GW0711_blue_blo2_GE16_rep2_dry,msdatapath,msmethodpath\LF_12ms,GE16,1
Unknown,GW0711_orange_blo2_BG21_rep4_dry,msdatapath,msmethodpath\LF_12ms,BG21,1
Unknown,GW0711_QC_blo3_BD16_rep11_dry,msdatapath,msmethodpath\LF_12ms,BD16,1
Unknown,GW0711_digest_mix_blo3_RE21_rep11_dry,msdatapat,msmethodpath\LF_12ms,RE21,1
Unknown,GW0711_digest_mix_blo3_BE22_rep12_dry,msdatapat,msmethodpath\LF_12ms,BE22,1
Unknown,GW0711_blue_blo4_GE13_rep3_dry,msdatapath,msmethodpath\LF_12ms,GE13,1
Unknown,GW0711_orange_blo4_RG12_rep5_dry,msdatapath,msmethodpath\LF_12ms,RG12,1
Unknown,GW0711_green_blo4_RF7_rep2_dry,msdatapath,msmethodpath\LF_12ms,RF7,1
