Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,GW0826_Preblank1,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RP17,1
Unknown,GW0826_Preblank2,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RB2,1
Unknown,GW0826_30_blo0_RP17_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB3,1
Unknown,GW0826_QC_blo0_RB2_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RB3,1
Unknown,GW0826_QC_blo0_RB3_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB6,1
Unknown,GW0826_QC_blo0_RB3_rep3_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RA1,1
Unknown,GW0826_QC_blo0_RB6_rep4_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RA1,1
Unknown,GW0826_TrueBlank_blo0_RA1_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RA1,1
Unknown,GW0826_TrueBlank_blo0_RA1_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RA1,1
Unknown,GW0826_TrueBlank_blo0_RA1_rep3_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RP13,1
Unknown,GW0826_TrueBlank_blo0_RA1_rep4_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RH15,1
Unknown,GW0826_15_blo1_RP13_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RM11,1
Unknown,GW0826_22_blo1_RH15_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RG10,1
Unknown,GW0826_12_blo1_RM11_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RM18,1
Unknown,GW0826_6_blo1_RG10_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB10,1
Unknown,GW0826_27_blo1_RM18_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RF19,1
Unknown,GW0826_1_blo1_RB10_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RD13,1
Unknown,GW0826_20_blo1_RF19_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RF13,1
Unknown,GW0826_3_blo1_RD13_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RH13,1
Unknown,GW0826_5_blo1_RF13_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RP18,1
Unknown,GW0826_7_blo1_RH13_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB5,1
Unknown,GW0826_30_blo2_RP18_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RC2,1
Unknown,GW0826_QC_blo2_RB5_rep5_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RA1,1
Unknown,GW0826_QC_blo2_RC2_rep6_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RA1,1
Unknown,GW0826_TrueBlank_blo2_RA1_rep5_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB9,1
Unknown,GW0826_TrueBlank_blo2_RA1_rep6_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RN16,1
Unknown,GW0826_1_blo3_RB9_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RN18,1
Unknown,GW0826_28_blo3_RN16_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RP11,1
Unknown,GW0826_28_blo3_RN18_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RJ17,1
Unknown,GW0826_15_blo3_RP11_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RF12,1
Unknown,GW0826_24_blo3_RJ17_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RL17,1
Unknown,GW0826_5_blo3_RF12_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RG16,1
Unknown,GW0826_26_blo3_RL17_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RH16,1
Unknown,GW0826_21_blo3_RG16_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RK15,1
Unknown,GW0826_22_blo3_RH16_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RP16,1
Unknown,GW0826_25_blo3_RK15_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RB2,1
Unknown,GW0826_30_blo4_RP16_rep3_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB2,1
Unknown,GW0826_QC_blo4_RB2_rep7_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RA1,1
Unknown,GW0826_QC_blo4_RB2_rep8_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RA1,1
Unknown,GW0826_TrueBlank_blo4_RA1_rep7_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RJ12,1
Unknown,GW0826_TrueBlank_blo4_RA1_rep8_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RC10,1
Unknown,GW0826_9_blo5_RJ12_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RK16,1
Unknown,GW0826_2_blo5_RC10_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RN10,1
Unknown,GW0826_25_blo5_RK16_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RG17,1
Unknown,GW0826_13_blo5_RN10_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RF18,1
Unknown,GW0826_21_blo5_RG17_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RG11,1
Unknown,GW0826_20_blo5_RF18_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RD19,1
Unknown,GW0826_6_blo5_RG11_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RE11,1
Unknown,GW0826_18_blo5_RD19_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RJ9,1
Unknown,GW0826_4_blo5_RE11_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RC2,1
Unknown,GW0826_9_blo5_RJ9_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RC6,1
Unknown,GW0826_QC_blo6_RC2_rep9_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RA1,1
Unknown,GW0826_QC_blo6_RC6_rep10_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RA1,1
Unknown,GW0826_TrueBlank_blo6_RA1_rep9_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RB19,1
Unknown,GW0826_TrueBlank_blo6_RA1_rep10_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RO19,1
Unknown,GW0826_16_blo7_RB19_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RI15,1
Unknown,GW0826_29_blo7_RO19_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RK10,1
Unknown,GW0826_23_blo7_RI15_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RC9,1
Unknown,GW0826_10_blo7_RK10_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RO13,1
Unknown,GW0826_2_blo7_RC9_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RO18,1
Unknown,GW0826_14_blo7_RO13_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RC19,1
Unknown,GW0826_29_blo7_RO18_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RK13,1
Unknown,GW0826_17_blo7_RC19_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RE10,1
Unknown,GW0826_10_blo7_RK13_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RC4,1
Unknown,GW0826_4_blo7_RE10_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB6,1
Unknown,GW0826_QC_blo8_RC4_rep11_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RA1,1
Unknown,GW0826_QC_blo8_RB6_rep12_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RA1,1
Unknown,GW0826_TrueBlank_blo8_RA1_rep11_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RL9,1
Unknown,GW0826_TrueBlank_blo8_RA1_rep12_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RL10,1
Unknown,GW0826_11_blo9_RL9_rep1_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RD9,1
Unknown,GW0826_11_blo9_RL10_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RL19,1
Unknown,GW0826_3_blo9_RD9_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RH9,1
Unknown,GW0826_26_blo9_RL19_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RI11,1
Unknown,GW0826_7_blo9_RH9_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RC18,1
Unknown,GW0826_8_blo9_RI11_rep1_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RM10,1
Unknown,GW0826_17_blo9_RC18_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RD16,1
Unknown,GW0826_12_blo9_RM10_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RI16,1
Unknown,GW0826_18_blo9_RD16_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RB4,1
Unknown,GW0826_23_blo9_RI16_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RB4,1
Unknown,GW0826_QC_blo10_RB4_rep13_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RA1,1
Unknown,GW0826_QC_blo10_RB4_rep14_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RA1,1
Unknown,GW0826_TrueBlank_blo10_RA1_rep13_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RO9,1
Unknown,GW0826_TrueBlank_blo10_RA1_rep14_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RJ19,1
Unknown,GW0826_14_blo11_RO9_rep2_ch2_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelB_lcmethodfilename,RE15,1
Unknown,GW0826_24_blo11_RJ19_rep2_ch1_DIA20ng,C:/data/Ximena/Gonda,lcmethodpath\ChannelA_lcmethodfilename,RE17,1
